eventid,year,month,day,approxdate,extended,resolution,country,province,city,latitude,longitude,specificity,near_city,location,summary,crit1,crit2,crit3,doubted,alternative,multiple_attacks,success,suicide,attacktype1,attacktype2,attacktype3,targtype1,targsubtype1,corp1,target1,natlty1,targtype2,targsubtype2,corp2,target2,natlty2,targtype3,targsubtype3,corp3,target3,natlty3,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,lone_wolf,nperps,nperpcap,claimed,claimmode,claim2,claimmode2,claim3,claimmode3,compclaim,weaptype1,weapsubtype1,weaptype2,weapsubtype2,weaptype3,weapsubtype3,weaptype4,weapsubtype4,weapdetail,nkill,nkillus,nkillperp,nwound,nwoundus,nwoundperp,property,propextent,propextent,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,vehiclehij,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,nreleased,addnotes,scite1,scite2,scite3,intlog,intideo,intmisc,related
199112230009,1991,12,23,,0,,Mali,Timbuktu,Timbuktu,16.77532,-3.008265,1.0,0,,,1,1,1,-9,,0.0,1,0,Armed Assault,,,Business,Medical/Pharmaceutical,,Maternity Clinic,Mali,,,,,,,,,,,Tuareg extremists,Rebels,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,6.0,,,3.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199112250010,1991,12,25,,0,,Niger,Tillaberi,Mangaize,14.68153,1.954201,2.0,0,,,1,1,1,0,,0.0,1,0,Armed Assault,,,Private Citizens & Property,Village/City/Town/Suburb,govt,Village of Mangaize,Niger,,,,,,,,,,,Tuareg Guerrillas,Guerrillas,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,1.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199112300011,1991,12,30,,0,,Niger,Agadez,Aderbissinat,15.620232,7.894257,1.0,0,,,1,1,1,0,,0.0,1,0,Hostage Taking (Kidnapping),,,Private Citizens & Property,Village/City/Town/Suburb,govt,town of Anderbissinat,Niger,,,,,,,,,,,Tuareg Guerrillas,Guerrillas,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,1.0,,,2.0,,,1,,,,,1.0,1.0,0.0,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199201220016,1992,1,22,,0,,Niger,Agadez,Arlit,18.7325,7.368056,1.0,1,,,1,1,1,-9,,0.0,1,0,Armed Assault,,,Tourists,Tour Bus/Van,,Tourist Vehicle Carrying French tourists,France,Tourists,Tour Bus/Van,,Tourist Vehicle Carrying Italian tourists,Italy,Tourists,Tour Bus/Van,,Tourist Vehicle Carrying German tourists,Germany,Tuareg Guerrillas,Guerrillas,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,0.0,,,4.0,,,1,3.0,Minor (likely < $1 million),20000.0,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,1,
199202090004,1992,2,9,,0,,Niger,Agadez,Agadez,16.974169,7.986535,1.0,1,,,1,1,0,1,Insurgency/Guerilla Action,0.0,1,0,Armed Assault,,,Military,Military Unit/Patrol/Convoy,Paramilitary Police,Patrol,Niger,,,,,,,,,,,Tuareg Guerrillas,Guerrillas,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,3.0,,,3.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199202190015,1992,2,19,,0,,Niger,Agadez,Arlit district,18.28183,8.00003,3.0,1,,,1,1,1,0,,0.0,1,0,Hostage Taking (Kidnapping),,,Government (General),"Government Personnel (excluding police, military)",Govt,"6 conservation project workers, head of a conservation project, 2 forest*",Niger,,,,,,,,,,,Air and Azawak Liberation Front,,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,0.0,,,0.0,,,0,,,,,1.0,6.0,0.0,,,,Niger,0.0,,,,,,,,,,,,0,0,0,
199203150012,1992,3,15,,0,,Niger,Iferouane,Iferouane,19.0625,8.42,1.0,0,,,1,1,1,0,,0.0,1,0,Bombing/Explosion,,,Private Citizens & Property,Village/City/Town/Suburb,Govt,Village of Iferouane,Niger,,,,,,,,,,,Air and Azawak Liberation Front,,,,,,,0,80.0,,,,,,,,,Explosives,"Projectile (rockets, mortars, RPGs, etc.)",Firearms,Automatic or Semi-Automatic Rifle,,,,,Rocket; Automatic firearm,3.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0,0,0,
199205240008,1992,5,24,,0,,Niger,Tillaberi,Bankilare,14.5775,0.727222,1.0,0,,,1,1,1,0,,0.0,1,0,Armed Assault,,,Private Citizens & Property,Village/City/Town/Suburb,Govt,Village of Bankilare,Niger,,,,,,,,,,,Tuareg Guerrillas,Guerrillas,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,1.0,,,2.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199206120012,1992,6,12,,0,,Niger,Iferouane,Iferouane,19.0625,8.42,1.0,0,,,1,1,0,1,Insurgency/Guerilla Action,0.0,1,0,Armed Assault,,,Military,Military Unit/Patrol/Convoy,Military,Unit,Niger,,,,,,,,,,,Tuareg Guerrillas,Guerrillas,,,,,,0,,,,,,,,,,Firearms,Automatic or Semi-Automatic Rifle,,,,,,,Automatic firearm,13.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
199206270014,1992,6,27,,0,,Niger,Tahoua,I-n-Safari,14.9411,5.7509,1.0,0,,,1,1,1,-9,,0.0,1,0,Armed Assault,,,Private Citizens & Property,Farmer,Hausa tribe,Farmers Group,Niger,,,,,,,,,,,Tuareg extremists,,,,,,,0,,,,,,,,,,Melee,Knife or Other Sharp Object,,,,,,,Knife,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,-9,-9,0,
